Name	Program 1	Program 2	Program 3	Program 4	Interests
"Puram, Sid"	Cancer Biology	Computational and Systems Biology	"Developmental, Regenerative and Stem Cell Biology"		"My research is primarily focused on cancers of the head and neck, which is also my surgical area of expertise. Our group is interested in understanding aspects of tumor heterogeneity as it pertains to malignant, stromal, and immune cell diversity and in particular understanding the molecular underpinnings that may drive metastasis and treatment resistance. We leverage cutting edge sequencing techniques such as single cell RNA sequencing as well as traditional biochemical and functional approaches to better understand this challenging disease.
Lab Website"
"Queller, David"	"Evolution, Ecology and Population Biology"	Molecular Genetics and Genomics	Plant and Microbial Biosciences		"Evolution usually favors ""selfish"" individuals that outcompete others, but it has nevertheless forged highly cooperative entities like social insect colonies, multicellular organisms, and the eukaryotic cell. I am interested in how cooperation and altruism evolve, with questions ranging from the genetic and molecular details of cooperation in social amoebas up to the nature of organisms. In empirical studies with Joan Strassmann, we have largely shifted from work on social insects to social amoebas. This gives us the opportunity to do experimental evolution studies and to study cooperation, cheating, and kin recognition at the genetic, molecular and genomic levels. On the theoretical side, I explore this evolution of cooperation with models using population genetics, inclusive fitness, or game theory.Ê
Lab Website"
"Raichle, Marcus"	Neurosciences				Our work uses functional Magnetic Resonance Imaging (fMRI) and Positron Emission Tomography (PET) to study human brain organization and function in health and disease.The research can be divided into two general categories: studies of normal human brain function and studies of the biological origins of functional brain imaging signals obtained with MRI and PET. We use fMRI to determine systems within the normal human brain concerned with specific cognitive and emotional functions. We are also studying patients with psychiatric diseases such as depression and anxiety to determine the system responsible for the disease and the response of these systems to treatment. We use both PET and MRI to relate changes in blood flow and brain metabolism to underlying changes in cellular activity associated with brain function.
"Rajagopal, Rithwick"	Molecular Cell Biology				"Lipid metabolism in the normal and diseased retina 
                        
                        
                            
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Raman, Baranidharan"	Computational and Systems Biology	Neurosciences			"Research in my laboratory focuses on understanding the design and computing principles of biological sensory systems using the relatively simple invertebrate olfactory system. To achieve this goal , combining a variety of electrophysiological recording techniques and computational modeling approaches, we investigate how the multi-dimensional and dynamic odor signals are encoded as neural representations (odor coding) and processed by olfactory circuits in the brain.Ê
Understanding how brain interprets complex sensory stimuli is also important for developing neuromorphic devices and algorithms for addressing parallel engineering problems. In collaboration with the National Institute of Standards and Technology, my lab is currently developing a neuromorphic Ôelectronic noseÕ based on MEMS microsensor arrays for non-invasive chemical sensing. Potential target applications for the electronic nose technology include medical diagnosis, homeland security, environmental monitoring, space explorations, robotics, and human-computer interaction.
Lab Website"
"Randolph, Gwendalyn"	Immunology	Molecular Cell Biology	Molecular Microbiology and Microbial Pathogenesis		"By focusing on the trafficking of molecules and cells out of tissues, my research laboratory integrates immunology and vascular biology with the study of disease mechanisms linked to inflammation. In parallel to the study of disease mechanisms, we carry out basic science essential to the interpretation of observations in the disease context. Early in my career, I worked on the fate of monocytes as they differentiated to macrophages or dendritic cells, with a particular interest in the development of their ability to traffic out of inflammatory tissues via lymphatic vessels to lymph nodes, as we considered the role of such trafficking in the ability of an inflammatory state to resolve. Over time, in interacting with scientists bringing diverse expertise to atherosclerosis, where I worked on monocyte trafficking for several years, my laboratory developed an interest in the trafficking of not just cells but also of molecules, particularly lipoproteins out of tissues, since the inability of lipoproteins to reach key sites or to become trapped can affect the course of inflammation. We developed approaches to examine trafficking of lipoproteins through tissue interstitial spaces, asking (as we had done for immune cells) how reliant on functional lymphatics was a lipoprotein's ability to leave tissues appropriately to promote key processes like reverse cholesterol transport. In recent years, we realized that the tri-partite expertise we developed (immune cell trafficking, lipoprotein trafficking, lymphatic vessel biology) could be put to work on new questions in disease states less well understood than atherosclerosis. One such question is whether lymphatics that carry lipid nutrients, immune cells, and other cargo away from the gut become dysfunctional in inflammatory diseases like Crohn's disease. We have thus transitioned our research to understanding the trafficking of cellular and molecular cargo out of the intestine to downstream tissues and organs like lymph nodes and liver. The lymphatic vasculature draining the intestine traverses the mesenteric adipose tissue within the peritoneal cavity. We also specialize in the immune cell (especially macrophage) microenvironment of the peritoneal cavity and the impact of its physiology on neighboring organs and intraperitoneal perturbations like inflammation and peritoneal tumor metastasis.
Lab Website"
"Ratner, Lee"	Cancer Biology	Molecular Genetics and Genomics	Molecular Microbiology and Microbial Pathogenesis		"Dr RatnerÕs basic research is involved in a molecular dissection of virus-cell interactions. We focus on two retroviurses: Human T-Cell Leukemia Virus Type 1 (HTLV-1) which causes a specific form of lymphoma, and Human Immunodeficiency Viruses (HIV) Types 1 and 2. Our studies of HTLV-1 are concerned with analysis of the mechanisms of leukemogenesis through studies of: transforming determinants in an infectious immortalizing HTLV-1 proviral clone; transgenic models utilizing the HTLV-1 trans-activator protein, which results in a lymphoproliferative malignancy; and identification and characterization of the receptor for the virus. Our studies of HIV-1 focus on two distinct questions: 1) How does viral protein X (Vpx) enhance virus replication in quiescent cells? 2) How does the viral envelope interact with the receptor (CD4) and coreceptor (CXCR4 or CCR5) to allow virus entry? For these studies, we utilize infectious molecular clones of HIV-1 and HIV-2, cell culture and animal studies, small molecule and siRNA inhibitors, as well as viral and cellular cofactor mutants. Information from these studies has been applied to developing novel therapeutic approaches for HTLV-1 and HIV-1 infections. Dr RatnerÕs clinical research is focused on human retrovirus-associated cancers. He has participated and/or led clinical trials HIV-associated lymphomas, anal carcinomas, and KaposiÕs sarcoma. He has also led multicenter trials of HTLV-1 associated leukemia/lymphoma.             
                           
                    "
"Rauchman, Michael"	"Developmental, Regenerative and Stem Cell Biology"	Molecular Genetics and Genomics			"We study the genetic and biochemical mechanisms that regulate nephron progenitor cells, and how these developmental pathways are used for repair and regeneration of the injured kidney. We use whole exome sequencing and functional assays in zebrafish to identify novel genetic causes of human kidney birth defects."
"Ravichandran, Kodi"	Immunology	Molecular Cell Biology			"Engulfment of apoptotic cells - the art of eating a good meal
Every day, we turn over billions of cells as part of normal development and homeostasis. Majority of these cells die by via caspase-dependent apoptosis. The recognition and phagocytic removal of these apoptotic cells occurs via the process of ÔefferocytosisÕ and is fundamentally important for our health. Failure to promptly and efficiently clear apoptotic cells can lead to chronic inflammation, autoimmunity and developmental defects. Efferocytosis is usually done by neighboring cells or by professional phagocytes such as macrophages and dendritic cells, although many non-professional phagocytes such as epithelial cells and fibroblasts can function as efferocytes in different tissues in vivo.
In studying efferocytosis, we consider four broad issues related to Ôeating an apoptotic mealÕ. The first issue is getting to the meal itself. This involves the release of so called Ôfind-me signalsÕ from apoptotic cells that serve as attraction cues to recruit monocytes and macrophages near an apoptotic cell. Besides the phagocyte recruitment function, we have also identified a critical role for metabolites released from apoptotic cells as Ôgood-bye signalsÕ that impact the tissue in multiple ways. In this context, we focus on Pannexin channels, which are ÔopenedÕ during apoptosis by caspase-mediated cleavage. Pannexins are one of the key conduits for release of metabolites from apoptotic cells. Pannexin channels can also play roles in live cells, for example in communication between Teff and Treg cells.
The second issue is determining what is on the menu, and distinguishing the apoptotic cell from the neighboring healthy cells. This is achieved through expression of Ôeat-meÕ signals on apoptotic cells and their recognition by receptors on phagocytes. Here, we focus on the ligands on the dying cell and receptors on phagocytes that are involved in the specific recognition of apoptotic cells. Our work has identified a novel role for the adhesion type GPCR BAI1 as a receptor for phosphatidylserine, a key eat-me signal exposed on apoptotic cells. Ê
The third issue we study is the act of eating the meal itself. Here, we focus on the specific intracellular signals that are initiated within the phagocyte when it comes in contact with apoptotic cells, and how this leads to cytoskeletal rearrangements of the phagocyte and internalization of the target (imagine swallowing a neighbor nearly your own size!). We have extensively studied a signaling pathway downstream of BAI1 involving the proteins ELMO1, Dock180 and the small GTPase Rac in membrane reorganization. We have generated transgenic and knockout mice targeting various engulfment molecules. Our recent work has highlighted the induction of a solute carrier proteins (SLCs) program in phagocytes and how SLCs control the appetite of a phagocyte. Ê
The fourth topic relates to Ôafter-the-mealÕ issues. Contrary to other types of phagocytosis (such as bacterial uptake), engulfment of apoptotic cells is actively anti-inflammatory. We are interested in determining how apoptotic cells induce an anti-inflammatory state of the phagocyte, and how this relates to immune tolerance. Ê
Another fun problem when one cell eats another cell is that the phagocyte essentially doubles its cellular contents (including protein, cholesterol, nucleotides etc. - think of a neighbor moving into your house!). We are addressing how the ingested cargo is processed within the phagocyte, and how the phagocyte manages homeostasis and continue to ingest multiple corpses in succession. Phagocytes do not function alone, and in tissues they are next to other phagocytes and other cells; thus, we also focus on how efferocytic phagocytes communicate with each other and other cells. Given how many auto-inflammatory diseases are now linked to failed or defective efferocytosis, we are interested in how we can boost efferocytosis in vivo. We study disease models of lung inflammation, arthritis, colitis, and atherosclerosis to pick apart the functional role efferocytosis and key regulatory players. The overall goal of these studies is to eventually benefit from manipulating the efferocytic process in disease states."
"Reichhardt, Courtney"	"Biochemistry, Biophysics, and Structural Biology"	Molecular Cell Biology	Molecular Microbiology and Microbial Pathogenesis		"The overarching goal of the Reichhardt Lab is to discover the fundamental biophysical principles of biofilm assembly. Within biofilms, aggregates of microbes are encased in a mesh-like, biopolymer-rich matrix that promotes microbial cell-cell interactions, adherence to host tissues, and protection from antimicrobials. These properties contribute to biofilms causing difficult-to-treat chronic infections.
Despite the importance of the biofilm matrix, we still do not understand how individual matrix components are assembled into a functional architecture. Since this problem spans several scales-multicellular to atomic-new multidisciplinary approaches are required. Therefore, we are developing approaches that integrate microbiological methods with physical chemistry tools including microscopy and solid-state nuclear magnetic resonance (NMR). Overall, our research program aims to provide critical understanding of biofilm assembly, with broader impact on bacterial physiology, materials science, and treatment for chronic infections.
Biofilm matrix dynamics:Biological materials-including the biofilm matrix-are dynamic, with properties and functions that change in response to environmental cues. We are applying solid-state NMR and microscopy to explore how biofilm matrix interactions change over the course of the biofilm lifecycle.
Integration of host material into biofilms:An incredibly important feature of biofilm infections is the host environment. However, in general, only self-produced biofilm matrix has been characterized. We are developing solid-state NMR and microscopy approaches to examine total infection-relevant biofilm composition.
Biofilms in CF lung infections:Material from CF lung infections can be analyzed by solid-state NMRPeople with cystic fibrosis (CF) have recurrent lung infections that are thought to be biofilm-involved infections. We are using innovative interdisciplinary approaches to provide critical understanding of biofilm assembly in CF lung infections.
Lab Website"
"Remedi, Maria"	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology	Neurosciences		"The broad context of my ongoing research has been focused on understanding the physiological and pathological roles of ATP-sensitive potassium (KATP) channels. KATP channels are expressed in many tissues (brain, heart, muscle and pancreas) linking metabolism to membrane electrical activity. Mutations on ATP-sensitive K+ (KATP) channels are the main cause of several human diseases including Neonatal Diabetes Mellitus, Congenital Hyperinsulinism, brain disorders and Cantu syndrome. In pancreatic _--cells, KATP channels critically link glucose metabolism to insulin secretion. In the last few years, I focused my research on the role and consequences of altered KATP channels in insulin secretion; and more recently, on understanding the underlying mechanism/s of pancreatic _-cell exhaustion and glucotoxicity in diabetes . I have been also studying the consequences of altered KATP channels in extra-pancreatic tissues (heart, vasculature). 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Renner, Susanne"	"Evolution, Ecology and Population Biology"				"In recent years, I have worked mostly on plant phenology (related to historic and ongoing climate change), the evolution of plant sex chromosomes, and the origin and domestication of Cucurbitaceae crops. I also publish on the data storage and data re-use in taxonomy and how to attached names to species - with Codes of Nomenclature - a topic that requires discussion across research communities (bacteria, archaea, cultivated and uncultivated Prokaryotes, algae, plants, higher animals) and that bears on conservation biology."
"Rentschler, Stacey"	"Developmental, Regenerative and Stem Cell Biology"				"The cardiac conduction system generates and propagates electrical impulses within the heart, and cells of the conduction network arise from lineage specification of cardiomyocyte progenitors. We are seeking to understand the mechanisms regulating cardiac conduction development, which may provide insight into congenital arrhythmia syndromes. Wolff-Parkinson-White (WPW) syndrome affects 1 in 500 people and is characterized by accessory atrioventricular pathways in the heart which bypass the normal conduction system and can result in ventricular preexcitation, palpitations, and sudden cardiac death.  Although WPW has been well described clinically, the developmental mechanisms behind the formation of this functional ectopic myocardial tissue are poorly understood.  We utilize a novel murine model to better understand this disorder.  In  addition, we utilize reprogramming approaches to convert mature cardiomyocytes into conduction-like cells, which may ultimately be useful in regenerative approaches such as the development of a biologic pacemaker. 
                        
                        
                            
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Ribeiro Pereira, Patricia Manuela"	Cancer Biology				"The Ribeiro Pereira Lab has four major goals:
Use biomolecules, ranging from small molecules to full-length antibodies, as tumor-targeting agents to deliver imaging or cytotoxic cargo. A primary research focus of our laboratory is the conjugation, labeling, and validation of tumor-targeting molecular imaging and therapeutic agents.Use multimodal imaging to monitor the binding of molecular-targeted compounds to tumors before and during therapy. To visualize a particular biological process, we take advantage of the high sensitives of PET, SPECT, or optical imaging. We use non-invasive molecular imaging to determine the role of receptor membrane dynamics and tumor stroma in cancer therapy.Use acute and temporal pharmacologic approaches to modulate tumor biology in ways that enhance antibody- and non-antibody-based cancer therapies. We use pharmacologic approaches with appropriate PK/PD as potential adjuvants for specific antibody-targeted and non-antibody-based cancer therapies.Improve cancer diagnosis and treatment by combining basic tumor biology with preclinical knowledge and clinical needs. We use fresh cultures of tumors and patient-derived GC xenografts (PDXs) to correlate antibody targeting with the respective tumorÕs genetic profile and identify genetic features that characterize a non-responder versus a responder tumor. The preclinical discoveries made in our laboratory are combined with retrospective and prospective studies, prioritized and pushed towards clinical translation."
"Rice, John"	Biomedical Informatics and Data Science	Human and Statistical Genetics			"Dr. Rice's current research interests include methods development in genetic epidemiology and family study techniques, and the collection and analysis of genome-wide association data on the affective disorders, schizophrenia, smoking and alcoholism. Dr. Rice is the PI in St. Louis for the Collaborative Depression Study (CDS) a five-site study which began in 1978 to collectively follow 955 probands with affective disorders and to assess 612 of their families, and is PI on a multi-site case-control study of Bipolar Disorder and a co-investigator on studies of schizophrenia, alcohol dependence and nicotine dependence.Another area of expertise is in the management and analysis of data from genetic repositories.  Dr. Rice maintains the genetic database for the NIMH and NIDA Centers for Genetic Studies.  The NIMH repository has existing genetic data on Bipolar Disorder, Schizophrenia, Autism, Major Depression and Alzheimer disease, and these existing datasets are housed in St. Louis."
"Richards, Linda"	Cancer Biology	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology		"Our research focusses on the development, plasticity, and function of long-range connections of the cerebral cortex.  The corpus callosum is the largest fibre tract in the brain of placental mammals and connects neurons in each cortical hemisphere.  We investigate how cellular and molecular/genetic mechanisms regulate brain wiring during development and how brain wiring is altered in congenital corpus callosum dysgenesis (CCD).

CCD occurs in 1:4000 people and can result in profound changes in the structural architecture of brain connectivity due to long-range axonal plasticity that occurs during development.  Our research investigates the underlying causes of CCD, how long-range axonal plasticity occurs and how these structural changes in brain wiring impact cognition and behaviour.

Professor Richards is a board member of the International Research Consortium for the Corpus Callosum and Cerebral Connectivity (IRC5) and a scientific advisor and patron of Australian Disorders of the Corpus Callosum (AusDoCC) support group.

In addition to her research, Professor Richards is a passionate advocate for neuroscience.  She contributed to establishing the International Brain Initiative, the Australian Brain Alliance and the Australian Brain Bee Challenge.

Other Links:
Department of Neuroscience
McDonnell Center for Cellular & Molecular Neurobiology 
                        
                           
                    "
"Roberson, Eli"	Biomedical Informatics and Data Science	Computational and Systems Biology	Human and Statistical Genetics		"The genetics of familial autoimmunity, molecular biology and genetics of inflammatory myopathy, and the molecular biology and genetics of hidradenitis suppurativa. Bioinformatics & statistics, particularly of next-generation sequencing data. Cell line genome engineering via Cas9. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Robertson, Janice"	"Biochemistry, Biophysics, and Structural Biology"	Computational and Systems Biology	Neurosciences		"Throughout my training, I have built a foundation of experience enabling my laboratory to investigate important biological questions by integrating theory and experimental approaches hand in hand. For my undergraduate education. I obtained a Honours Bachelor of Science degree at the University of Toronto in Theoretical Physiology and Mathematics which taught me how to model biological systems using principles of math, physics and chemistry. I was first introduced to membrane proteins in the laboratory of Dr. Peter Backx, where I carried out research on the mathematical modeling of the cardiac action potential as well as experimental. electrophysiological studies of voltage-gated sodium channels. During my PhD with Dr. BenoTt Roux and Dr. Larry Palmer at the Weill Cornell Graduate School of Medical Sciences, I applied these fundamentals to computational studies aimed at investigating how changes in inward rectifier potassium channel sequence leads to changes in function (Robertson and Roux, 2005; Zhang et al., 2004; Robertson et al., 2008; 2012; 2010b). My postdoctoral training with Dr. Chris Miller at HHMI/Brandeis University immersed me in experimental membrane protein biochemistry, investigating the structure and function of anion transporters and channels (Jayaram et al., 2011; Robertson et al., 2010a; Stockbridge et al., 2013). After receiving a K99 award, I studied with Dr. Jeff Gelles at Brandeis University to learn single-molecule fluorescence microscopy and apply this technique to the study of reversible CLC dimerization in lipid bilayers as a model system to investigate the physical driving forces involved in self-assembly of proteins in membranes. The subject of membrane protein biochemistry is currently primed for a productive combination of theory and experiments. With my background, I am uniquely trained to integrate these areas into one laboratory and overcome the hurdles currently existing in the field while training the next generation of interdisciplinary scientists. In July 2013, I set up my laboratory at the University of Iowa in the Department of Molecular Physiology and Biophysics, and in September 2018, we moved to the Department of Biochemistry and Molecular Biophysics at Washington University. In my lab, we integrate experimental techniques such as biochemistry, electrophysiology, crystallography and single-molecule Total Internal Reflection Fluorescence (TIRFJ microscopy, with theoretical computer modeling, to study membrane protein systems in membranes. We have built our own multi-color co-localization TIRF microscope (Lambda II, and now Ill) following the Gelles lab design, which has fostered numerous collaborations with membrane protein physiologists interested in single-molecule and whole-cell TIRF imaging (e.g. Ahern laboratory, University of Iowa (Leisle et al., 2016); Sah Laboratory, University of Iowa and Washington University, ROl DK106009, NIH/NIDDK; Senes Laboratory CHE-1710183, NSF. University of Wisconsin - Madison). However, the primary goal of my laboratory is to understand how and why membrane proteins self-assemble (i.e. fold), form stable complexes. and achieve conformational stability inside of the oil-filled cell membrane. This is a challenging, and consequently, poorly understood area that is fundamental to cell biology. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Rogers, Cynthia"	Neurosciences				"My program of research focuses on improving the psychiatric outcomes of at-risk infants through understanding the underlying neural mechanisms of social-emotional development and psychopathology and the impact of adverse exposures and resilience factors on these mechanisms. I am the co-director of the multidisciplinary Washington University Neonatal Development Research group which conducts multi-modal neonatal neuroimaging and longitudinal follow-up studies with high retention rates of sociodemographically-diverse cohorts with elevated rates of exposure to adversity. My work also involves studying the role of prenatal exposures to poverty, stress, and drugs of misuse as well as preterm birth on neonatal brain development and subsequent child developmental outcomes.Ê
Lab Website"
"Roland, Jarod"	Neurosciences				"My research seeks a better understanding of how brain networks develop and adapt to changes caused by epilepsy, tumors, stroke, and or other neurological injuries. In particular I am interested in how children's brains reorganize after neurosurgical treatment of these conditions. I use a combination of tools including functional magnetic resonance imaging (fMRI) and intracranial electroencephalography (iEEG) to measure brain activity.Ê"
"Rosen, David"	Immunology	Molecular Microbiology and Microbial Pathogenesis			"Our lab focuses on the pathogenesis and host response to Klebsiella pneumoniae, an increasingly resistant and versatile organism. One of only three threats deemed ""urgent"" by the CDC, resistant Klebsiella infections kill half of people afflicted and are only increasing in prevalence. Utilizing mouse models of pneumonia, bacteremia and urinary tract infection (UTI), we are dissecting just how this bacterium causes infection in the host and how the host responds. We are particularly interested in adaptive responses to Klebsiella pneumoniae including the development of broad and effective vaccines.Ê
Lab Website"
"Rowlands, Elizabeth Yanik"	Biomedical Informatics and Data Science	Human and Statistical Genetics			"The primary aim of Dr. YanikÕs research is to identify opportunities for prevention of musculoskeletal disease. Her current research focuses on understanding risk factors for the development of rotator cuff disease, including the contributions of genetic and occupational risk. She also collaborates broadly across the Department of Orthopaedic Surgery to support clinical research efforts by providing expertise on study design, measurement, and statistical analyses. She holds a secondary appointment in the Division of Public Health Sciences in the Department of Surgery."
"Rubenstein, Ron"	"Biochemistry, Biophysics, and Structural Biology"	Molecular Cell Biology			"Novel therapies for cystic fibrosis, complications of cystic fibrosis and its treatments.
Lab Website"
"Rubin, Deborah"	"Biochemistry, Biophysics, and Structural Biology"	"Developmental, Regenerative and Stem Cell Biology"			"Our laboratoryÕs major focus is in the study of gastrointestinal epithelial cell biology, specifically in examining molecular mechanisms regulating its proliferation and differentiation.  Our two major projects are briefly described:1.   Epithelial-mesenchymal interactions in gut epithelial proliferation and carcinogenesis.   Epithelial-mesenchymal interactions are required for normal intestinal morphogenesis and have a critical role in carcinogenesis in epithelial tissues.  Epimorphin, a member of the syntaxin family of vesicle docking proteins, is a mesenchymal and myofibroblast protein with an important role in epithelial morphogenesis.  To elucidate its biological function we generated epimorphin-/- (epi-/-) mice, which are viable yet manifest a phenotype including increased small bowel length, increased mucosal surface area, increased crypt cell proliferation and increased crypt fission.    This phenotype derives, at least in part, from effects on bone morphogenetic protein (Bmp), Wnt-§-catenin and Hedgehog (Hh) signaling pathways.  These data are consistent with our observation that aged Epi-/- mice have a significantly increased incidence of spontaneous small bowel adenomatous polyps, and occasionally develop invasive cancer. Our observations suggest that the net effect of stromal myofibroblast secretion mediated by epi in the intestine is to act as a ÒbrakeÓ on crypt cell proliferation and crypt fission.  Thus, perturbing normal secretion by extinguishing epimorphin expression stimulates crypt cell proliferation and fission.  Over time, we predict that this promotes adenomatous polyp formation and malignant transformation.Our research focuses on determining the mechanisms by which epimorphin deletion leads to enhanced crypt cell proliferation and small intestinal polyp formation.  The tumorigenic phenotype of Epi-/- mice is being assessed by determining the temporal, regional and histologic characteristics of the small bowel polyps and carcinomas.  Effects of epi deletion on secretion of Bmps and other growth factors, and on Bmp, Hh and wnt-§-catenin signaling pathways are being examined in the small bowel and colon of Epi-/- mice and in Epi-/-  and WT myofibroblasts.  In addition, we use using myofibroblast-epithelial co-culture models to examine the effects of epimorphin overexpression and inhibition on Bmp activity.  Bmps modulate the wnt-§-catenin pathway via effects on §-catenin nuclear localization, and Bmp4 is a downstream target of the Hh signaling pathway. Thus we are determining  how epimorphin overexpression and inhibition regulates these pathways, using in vitro model systems. 2.  Molecular regulation of the proliferative and functional adaptive response of the small intestinal epithelium following loss of functional small bowel surface area.  Following loss of functional small bowel surface area resulting from surgical resection or from ischemia, trauma, radiation or diseases such as CrohnÕs disease, the remnant intestine undergoes a robust adaptive response.  This is characterized by enhanced crypt cell proliferation, resulting in increased villus height, crypt depth and enterocyte migration as well as enhanced nutrient absorption. Our laboratory has been interested in determining the molecular regulation of this response, particularly focusing on mechanisms underlying enhanced epithelial function and crypt cell proliferation and apoptosis. Recently we have elucidated the role of an immediate early gene, TIS7, in the gut during adaptation following resection.  TIS7 is markedly upregulated during the early adaptive response. Transgenic mice that overexpress TIS7 in the small intestine have increased adiposity but lower growth rates compared to their normal littermates, and an enhanced rate of intestinal lipid absorption.  In contrast, TIS7 null mice are protected from weight gain on a high fat diet.  Studies presently focus on determining the mechanisms underlying the adiposity and alterations"
"Rubin, Josh"	Cancer Biology	Molecular Cell Biology	Neurosciences		"In our lab we are interested in the relationship between normal brain development and the genesis of pediatric brain tumors. We believe that a better understanding of this relationship will support the development of novel brain tumor therapies with greater efficacy and reduced toxicity. These studies require the utilization of primary tumor specimens for biological and expression studies. 
                        
                        
                            
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Rudnick, David"	"Developmental, Regenerative and Stem Cell Biology"				"Our laboratory is interested in elucidating the molecular signaling mechanisms of liver regeneration.  In addition to liver mass being precisely regulated in proportion to body mass, this organ is also able to regenerate the anatomic and functional deficits incurred by many forms of injury or disease (e.g. toxin exposure, trauma, infection).  We use rodent partial hepatectomy and other models to investigate the mechanisms responsible for this remarkable regenerative potential, and have focused our recent efforts on defining and investigating the functional relevance of extrahepatic signals that influence regulation of liver mass and regeneration.  In addition, we began a translational line of investigation in which lessons learned about liver regeneration in this basic model are applied to analyses of human liver diseases.  Such studies led us to identify a novel metabolomic marker of liver regeneration and evaluate its utility in predicting clinical outcomes in pediatric acute liver failure. 
                        
                        
                            
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Rudra, Shiva"	Molecular Microbiology and Microbial Pathogenesis				"Jai Rudra's lab is interested in the development of nano-scale biomaterials such as nanofibers, nanoparticles, virus-like particles, and hydrogels for engaging the immune system to induce protective antibody and cell-mediated immune responses against diseases such as tuberculosis, melanoma and flavivirus infections (West Nile and Zika). His is also investigating the development of vaccines against drugs of addiction such as cocaine.
Biomaterials immunoengineering is a multidisciplinary field that lies at the intersection of materials science, chemistry, immunology and vaccinology. His lab collaborates with virologists, immunologists, and clinicians not only to develop synthetic vaccination platforms but also to understand how biomaterials interact with the immune system and continue to develop novel materials and creative tools to tackle multidisciplinary problems in vaccine development and immunotherapy.
Lab Website"
"Rutherford, Mark"	Neurosciences				"Prevention of cochlear synaptic excitotoxicity in noise-induced hearing loss 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Saccone, Nancy"	Computational and Systems Biology	Human and Statistical Genetics	Molecular Genetics and Genomics		My research uses mathematical and statistical methods to identify and characterize genetic contributors to complex traits in humans. Methods under development include use of linkage disequilibrium (LD) structure in the design and interpretation of disease association studies. Applied work and interdisciplinary collaborations focus on the genetics of substance dependence.
"Saenz, Jose"	Molecular Cell Biology				"The early events in Helicobacter pylori-induced gastric oncogenesis
Lab Website"
"Sah, Rajan"	"Biochemistry, Biophysics, and Structural Biology"	Molecular Cell Biology			"I am a physician-scientist cardiologist in the Department of Internal Medicine at Washington University in St. Louis and Center for Cardiovascular Research. My passion is to discover, develop and deliver better therapies for patients with cardiovascular disease. To this end I have directed my research efforts to identifying novel and innovative biological targets to open new, untested therapeutic avenues. A major goal of my laboratory is to study the function of novel ion channels; specifically TRP channels (including TRPV3, TRPV4 and TRPM7), and the recently identified volume regulatory anion channel SWELL1 (LRRC8a) as they relate to growth and metabolism. To do this we combine cellular electrophysiology, calcium imaging (GCaMP6) and novel genetic techniques (including transient and stable lenti/AAV-shRNA-mediated knockdown and CRISPR-mediated knockout) in cultured cells (mouse and human) and freshly isolated, primary adipocytes, pancreatic §-cells, hepatocytes, skeletal myocytes, and endothelium. Genetic loss-of-function (CRISPR-mediated and conventional) mouse models for these ion channels are also used to examine their functions in vivo and in disease settings. By taking a Òwide-angleÓ view of ion channel signaling in biology, my laboratory has established several new independent research directions (in part through collaborative relationships) that emanates from our findings and leverages unique molecular tools and skill sets established in our laboratory. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Saligrama, Naresha"	Biomedical Informatics and Data Science	Immunology	Neurosciences		"The Saligrama lab is dedicated to understanding the adaptive immune responses in health and neurological disorders. Over the last few years it is becoming more and more evident that inflammation and adaptive immunity play a role in normal aging and neurological disorders. T cells are major component of the adaptive immune system and they recognize a diverse repertoire of antigens through T-cell receptors (TCRs). Major bottleneck in understanding T cell responses in health and disease is the diversity of TCRs and the vast variety of antigens that they can encounter. To circumvent these, we have taken a sequence-based approach to T cell responses and developed a robust single T cell TCR sequencing and phenotyping method and a bioinformatic analysis pipeline, which can group TCR sequences into clusters sharing specificity. Further, we have developed unbiased highthrouhput technologies to determine antigen specificity of TCRs. This is in contrast to traditional candidate approaches which involved a priori knowledge of the relevant antigens. By employing these technologies, we are exploring T cell responses at a Òsystems levelÓ in varied neuroinflammatory, neurodegenerative, and neuropsychiatric disorders. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
